Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
P35555	11	FBN1	1.0	sp|P35555|FBN1_HUMAN	P35555	FBN1_HUMAN	Fibrillin-1	Homo sapiens		22.492247126049378	22.067139046823836	23.057600686268483	22.89135870034839	23.090687956869655	22.789326867045887	22.570331389809837	22.41810026547808	22.652579748963507	22.737855908153726	22.612180135906993	21.95424833843585	23.10909664366353	NA	22.396879696171577	22.398254560699765	22.624737104952423
P35579	31	MYH9	1.0	sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	Myosin-9	Homo sapiens		26.06849241996112	26.28102392575186	24.219689343567836	26.165079236948174	23.22266672505284	23.968523051013726	26.616274261228806	25.50576085393137	23.94269783644278	25.530266216422255	24.048133713537066	28.132108124887786	23.709387287093826	26.34035683520735	24.961552009394442	26.39640997200707	26.387787578940078
P35590	2	TIE1	0.9981	sp|P35590|TIE1_HUMAN	P35590	TIE1_HUMAN	Tyrosine-protein kinase receptor Tie-1	Homo sapiens		19.347224533675462	19.20342200391134	18.993096689924023	19.175326534664507	19.60099025849931	19.5329858951096	18.827434350897885	19.499874469899513	18.942757238321015	19.841537021131963	19.38873450621441	19.25961981140871	19.973146250539372	NA	NA	19.59896164233815	20.104213293333945
P35858	14	IGFALS	1.0	sp|P35858|ALS_HUMAN	P35858	ALS_HUMAN	Insulin-like growth factor-binding protein complex acid labile subunit	Homo sapiens		26.62194937951054	26.297555110540564	27.427091807926896	25.83598998758883	27.089880905194082	26.767507750889344	27.32515617962192	26.646983364100343	27.152217659229887	27.358540310579496	27.245022830231832	25.864213435056158	26.023958729155027	NA	NA	26.4796169291549	26.22656873809537
P35908	27	KRT2	1.0	sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal	Homo sapiens		28.963010612426242	29.03471573059422	28.285206869628514	29.48830741872759	29.06253694082513	28.93132185385735	28.10198427997181	29.03851804146487	28.469080286692197	27.67505841770655	30.604786650283504	28.9348046178863	29.616356525167564	NA	NA	28.92476662831655	29.011394596993554
P35916	1	FLT4	0.9938	sp|P35916|VGFR3_HUMAN	P35916	VGFR3_HUMAN	Vascular endothelial growth factor receptor 3	Homo sapiens		17.810343676409815	18.11513031965103	18.082375348039786	18.34582892795701	18.23038938471191	18.199561393550887	18.09871854928271	16.841548569847888	17.620010425849483	18.591941880749367	16.663876148242846	16.40645163694881	18.460504271623734	NA	NA	18.57021291111369	17.674584355670557
P36222	1	CHI3L1	0.9792	sp|P36222|CH3L1_HUMAN	P36222	CH3L1_HUMAN	Chitinase-3-like protein 1	Homo sapiens		19.790048710276047	NA	NA	NA	20.281339626115315	NA	NA	19.888954229783344	NA	NA	NA	NA	19.4850490821914	NA	NA	NA	NA
P36871	3	PGM1	0.9776	sp|P36871|PGM1_HUMAN	P36871	PGM1_HUMAN	Phosphoglucomutase-1	Homo sapiens		21.68325633632575	22.268852955949637	21.843955659280407	21.76247805072002	20.57320171602235	20.979920544336768	21.604850832078807	22.192711758562446	21.832185596965957	21.229549685435508	20.96926621235394	22.51950343951316	21.280361597120827	NA	NA	21.427343049514402	22.09018633515792
P36955	13	SERPINF1	0.9999	sp|P36955|PEDF_HUMAN	P36955	PEDF_HUMAN	Pigment epithelium-derived factor	Homo sapiens		28.064031969937755	28.24242171716746	28.050704471942446	28.505101951982333	27.78641151094537	28.147172765205536	27.978337810292032	28.689173424904123	28.00421710722769	28.37674281715725	28.64893669261115	27.454701831346195	28.65249618100037	NA	31.073451061983906	27.966913544760843	27.828095446405907
P36959	1	GMPR	0.9989	sp|P36959|GMPR1_HUMAN	P36959	GMPR1_HUMAN	GMP reductase 1	Homo sapiens		19.658289800276485	20.369776720379146	18.584436109577286	19.528084921182295	18.177135246494377	18.57790122124387	19.768152937880593	19.405643363692967	18.594326036090408	18.857798737886444	NA	21.266266974028046	NA	NA	NA	18.70650417337073	20.01375875710984
P36980	9	CFHR2	1.0	sp|P36980|FHR2_HUMAN	P36980	FHR2_HUMAN	Complement factor H-related protein 2	Homo sapiens		26.531471516586638	26.408785002609733	27.40160566517513	27.234619988356656	26.76795628561269	27.377768282340245	26.848968251619453	26.553275132867107	25.723913700772847	27.089482751413772	26.346644160405752	26.39967619400758	26.272969657216137	28.248016394507577	26.763205647975138	26.61645130333118	26.667093267215282
P37802	7	TAGLN2	0.9997	sp|P37802|TAGL2_HUMAN	P37802	TAGL2_HUMAN	Transgelin-2	Homo sapiens		26.523304526090364	27.768803110827147	25.909140784407068	26.34976359107672	24.708211942908154	24.549696508137917	26.63007059721402	26.75386376968114	25.229556799580735	26.111556840099073	24.649020975168174	27.819660972147116	24.335271572776055	26.450986957922915	23.32310994088951	26.502541012875625	26.489010329119566
P37837	1	TALDO1	0.9989	sp|P37837|TALDO_HUMAN	P37837	TALDO_HUMAN	Transaldolase	Homo sapiens		20.37664141752307	21.278678112875355	20.491564806801872	19.898067171996487	19.35763103959581	19.68996142940828	20.01785042736296	20.3841151435547	21.10413661383591	19.743310637422535	19.706369468434854	21.204413678091964	20.32986949161619	NA	NA	20.565757981780713	20.254167888538603
P39060	3	COL18A1	0.9993	sp|P39060|COIA1_HUMAN	P39060	COIA1_HUMAN	Collagen alpha-1(XVIII) chain	Homo sapiens		22.874626450517887	22.768738206464057	23.137239834206103	23.63669569478854	23.391611378916373	23.167757015417465	22.799129443471596	23.01238941144069	23.11292067664182	22.906431650822487	23.040388770915424	22.612975329081827	23.28126304847871	NA	NA	22.94341817223561	23.087214289219915
P40189	1	IL6ST	0.9961	sp|P40189|IL6RB_HUMAN	P40189	IL6RB_HUMAN	Interleukin-6 receptor subunit beta	Homo sapiens		19.222735952631275	18.270312853145924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40197	4	GP5	1.0	sp|P40197|GPV_HUMAN	P40197	GPV_HUMAN	Platelet glycoprotein V	Homo sapiens		23.677007583407832	24.093275627686047	23.08179002040395	23.37687931326557	22.860027571685844	22.304944727339976	23.713309375278037	23.248994704971487	23.01476517847289	23.603073359608533	22.8291926729044	25.195021153250295	21.913008404936484	NA	NA	23.192683251848855	23.532890447446963
